cat|length
1|2470.32616326476
2|1810.85819535764
3|1094.11300926
4|1348.7221796671
5|764.195187278215
6|662.498589538326
7|870.545407289849
8|1606.3619717054
9|1290.55731295009
10|562.57728884807
11|450.533501629609
12|1271.63823104214
13|507.810719821103
14|859.830541753397
15|477.289123851857
16|1263.95398713749
17|367.020633682846
18|259.78276514646
19|1078.59222504165
20|401.46049980962
21|1113.91973969312
22|1166.54333561283
23|1381.53904515301
24|1728.23297593601
25|1070.38800867016
26|1186.71774210337
27|747.786754534578
28|469.084907480318
29|1140.30768585756
30|476.033799269663
31|746.89910600969
32|1835.47084447288
33|488.891637913472
34|1015.77373605265
35|202.873223012266
36|1361.94769436813
37|430.726771196759
38|1882.4008731853
39|1742.34613916234
40|787.400215400707
41|1318.56825975484
42|1172.97225493478
43|1109.26611742079
44|2528.12335392336
45|957.608869336088
46|651.263751534622
47|1594.23948517718
48|2137.89769211758
49|1500.74710380873
50|3874.70256048303
51|3132.82475280209
52|1711.82454319302
53|286.906063425953
54|948.517004439708
55|1930.73852289057
56|1416.34658733736
57|643.579507630398
58|1734.66189525803
59|85.2881649963806
60|661.243264956104
61|795.60443177262
62|324.376551184956
63|713.346888408153
64|255.864494989244
65|1656.32262205064
66|893.382759354974
67|1763.04051812018
68|531.168044354037
69|1936.27979368791
70|379.510796269235
71|531.168044354024
72|379.51079626932
73|203.760871537095
74|730.642969676482
75|795.60443177263
76|427.328473507036
77|1222.56522922182
78|426.440824982326
79|1179.40117425622
80|654.814345633877
81|1306.96574569325
82|589.70058712785
83|1731.26359756827
84|658.212643323663
85|1039.49873664259
86|561.321964265812
87|2026.74155342361
88|508.698368345804
89|874.83135350476
90|1692.9054612846
91|1816.18408650683
92|688.366563236049
93|469.084907480359
94|524.21915256461
95|230.884169816718
96|355.418119621528
97|1849.21633164124
98|1726.45767888643
99|328.662497399331
100|435.900365936436
101|724.061753944853
102|1570.51448458753
103|992.936383987435
104|65.4814345635935
105|248.547927142479
106|37.4704877587501
107|1371.55953173181
108|2460.13127019497
109|1626.16870213893
